iter	Passed	Remaining
0	6	1820
1	10	1582
2	13	1364
3	16	1248
4	20	1187
5	22	1125
6	25	1080
7	28	1036
8	30	1001
9	33	971
10	36	949
11	38	933
12	41	918
13	44	901
14	46	884
15	48	867
16	51	854
17	53	841
18	56	829
19	58	819
20	60	807
21	63	801
22	66	795
23	68	788
24	71	783
25	73	777
26	76	771
27	78	765
28	81	759
29	83	752
30	86	746
31	88	741
32	90	736
33	93	732
34	95	725
35	98	720
36	100	715
37	102	709
38	105	704
39	107	699
40	110	695
41	112	690
42	114	685
43	117	682
44	119	677
45	121	672
46	124	668
47	126	663
48	128	658
49	130	654
50	133	650
51	135	645
52	137	642
53	140	638
54	142	634
55	144	630
56	146	625
57	148	621
58	151	617
59	153	613
60	155	609
61	157	605
62	159	600
63	162	597
64	164	593
65	166	590
66	168	586
67	170	583
68	173	579
69	175	576
70	177	573
71	180	570
72	182	567
73	184	563
74	186	559
75	188	556
76	191	553
77	193	549
78	195	547
79	198	544
80	200	542
81	203	540
82	205	537
83	208	534
84	210	532
85	212	529
86	215	527
87	217	524
88	220	521
89	222	518
90	224	516
91	226	513
92	229	510
93	231	507
94	233	504
95	236	501
96	238	499
97	240	496
98	243	493
99	245	490
100	247	488
101	250	485
102	252	482
103	255	480
104	257	478
105	259	475
106	262	472
107	264	469
108	266	467
109	269	464
110	271	462
111	273	459
112	275	456
113	278	454
114	280	451
115	283	449
116	285	446
117	287	444
118	290	441
119	292	438
120	294	436
121	297	433
122	299	431
123	302	428
124	304	426
125	307	424
126	309	421
127	312	420
128	315	418
129	319	417
130	323	416
131	326	416
132	330	414
133	333	413
134	337	412
135	340	411
136	343	408
137	346	406
138	349	404
139	352	402
140	355	400
141	357	398
142	360	395
143	363	393
144	365	391
145	369	390
146	373	388
147	376	386
148	379	384
149	381	381
150	383	378
151	386	376
152	389	374
153	392	371
154	394	369
155	397	367
156	400	364
157	403	362
158	406	360
159	409	358
160	413	356
161	416	354
162	419	352
163	423	350
164	426	349
165	430	347
166	433	345
167	436	343
168	440	341
169	442	338
170	445	336
171	449	334
172	452	331
173	455	329
174	458	327
175	462	326
176	466	324
177	471	322
178	475	321
179	479	319
180	484	318
181	489	317
182	493	315
183	497	313
184	500	311
185	503	308
186	507	306
187	510	304
188	514	302
189	517	299
190	521	297
191	524	295
192	527	292
193	530	290
194	534	287
195	537	285
196	540	282
197	543	279
198	546	277
199	549	274
200	552	272
201	555	269
202	558	266
203	561	264
204	564	261
205	568	259
206	571	256
207	574	253
208	577	251
209	581	249
210	586	247
211	590	245
212	594	242
213	598	240
214	603	238
215	608	236
216	611	233
217	615	231
218	618	228
219	622	226
220	625	223
221	629	221
222	633	218
223	636	216
224	639	213
225	643	210
226	646	207
227	649	205
228	652	202
229	655	199
230	658	196
231	661	193
232	664	191
233	667	188
234	670	185
235	672	182
236	675	179
237	678	176
238	680	173
239	682	170
240	685	167
241	687	164
242	690	161
243	692	158
244	694	155
245	697	153
246	700	150
247	702	147
248	704	144
249	707	141
250	709	138
251	711	135
252	714	132
253	716	129
254	718	126
255	721	123
256	723	121
257	726	118
258	728	115
259	731	112
260	733	109
261	736	106
262	739	103
263	741	101
264	743	98
265	746	95
266	749	92
267	751	89
268	754	86
269	756	84
270	759	81
271	763	78
272	766	75
273	769	73
274	772	70
275	776	67
276	779	64
277	783	61
278	786	59
279	790	56
280	794	53
281	798	50
282	802	48
283	806	45
284	810	42
285	813	39
286	816	37
287	820	34
288	823	31
289	826	28
290	829	25
291	832	22
292	834	19
293	837	17
294	839	14
295	842	11
296	844	8
297	846	5
298	849	2
299	851	0
