SKU,dates,predicted_lower_bound,predicted_upper_bound
11617,2019-12-11,196.7344199573261,198.2261011250255
11617,2019-12-16,198.29108043839204,199.67559604437648
11617,2019-12-23,200.1967140249016,201.62793855639637
11617,2019-12-30,200.8000196491701,202.28498537330987
29251,2019-12-02,342.7049514174257,366.23856435021315
29251,2019-12-09,327.1822356398689,350.8165603237708
29251,2019-12-17,309.74243060028886,332.5594203191615
29251,2019-12-23,305.2170180830156,327.8425616508137
39924,2019-12-02,266.2643543310085,283.31210415642823
39924,2019-12-09,256.27920115697515,273.55324722076443
39924,2019-12-16,244.5812521272831,262.40383488616897
39924,2019-12-24,237.40062369985097,254.49236147275082
40937,2019-12-02,399.02870651049415,424.043359922039
40937,2019-12-09,383.7932514944544,408.5202311179066
40937,2019-12-16,367.3560798266144,391.97937212900393
40937,2019-12-23,355.83666345419726,381.16901102462145
50971,2019-12-02,298.203014682923,306.26364597111916
50971,2019-12-09,299.34225917110325,307.5535325416829
50971,2019-12-16,301.45304540062745,309.84200913268546
50971,2019-12-23,302.8061863221328,311.11662572692694
67179,2019-12-09,247.15133341962385,264.9847133893535
67179,2019-12-16,242.36063115983782,260.3447418945358
67179,2019-12-24,241.92519652015588,258.7283693026834
67179,2019-12-30,243.85024670500897,261.8209186894654
67286,2019-11-11,171.9990924082989,180.64925528770289
67286,2019-11-18,170.39157484571587,179.19046648047365
67286,2019-11-25,171.9774230105934,180.85728212402563
67286,2019-12-02,174.12121379491032,182.93276891999943
75536,2019-12-03,372.0607042861517,383.90962199364344
75536,2019-12-10,371.22962087254564,383.40657037989
75536,2019-12-16,369.79926149913763,381.41359778156607
75536,2019-12-23,365.83899791720927,377.91663325673653
97818,2019-12-02,253.05306564555187,266.9699220692709
97818,2019-12-12,252.6334899508356,266.64268098171317
97818,2019-12-17,252.19157970639165,265.7447908395408
97818,2019-12-23,252.90467989943772,267.1884553698816
98130,2019-12-02,323.79743849527165,328.8686590329223
98130,2019-12-09,322.2984557233312,327.33122209073935
98130,2019-12-17,321.7143639378484,326.81171753731604
98130,2019-12-23,322.0106079864392,327.3118636120987
